Date,Value
1960-01-31,37802418076.32591
1960-02-29,38091562540.52409
1960-03-31,38324478626.879
1960-04-30,38546391550.024
1960-05-31,38783759314.9772
1960-06-30,39057141297.7062
1960-07-31,39146114441.592
1960-08-31,39525162247.30801
1960-09-30,39315366003.39671
1960-10-31,39176672904.8898
1960-11-30,38613902927.1002
1960-12-31,38984304314.6436
1961-01-31,38970301294.6922
1961-02-28,38925807686.237
1961-03-31,39166411347.2468
1961-04-30,38859290256.825
1961-05-31,38910754745.503
1961-06-30,39026523542.559685
1961-07-31,39179419255.6964
1961-08-31,39613915092.854485
1961-09-30,39546908868.0483
1961-10-31,39768542900.563705
1961-11-30,40119067454.6648
1961-12-31,40468528418.4134
1962-01-31,40897045531.694405
1962-02-28,41425531887.0724
1962-03-31,41980345164.5153
1962-04-30,42361448436.914894
1962-05-31,42814774442.344315
1962-06-30,43015282399.9635
1962-07-31,43366993579.407295
1962-08-31,43519897984.3554
1962-09-30,43810330728.334885
1962-10-31,44203991818.5016
1962-11-30,44353081184.214096
1962-12-31,44541097345.18591
1963-01-31,44782321145.575096
1963-02-28,44910920672.2256
1963-03-31,45102343636.84631
1963-04-30,45552039537.7888
1963-05-31,45683515447.6967
1963-06-30,46265040120.3526
1963-07-31,46698511013.2865
1963-08-31,47104846388.6252
1963-09-30,47623894476.346886
1963-10-31,48404009207.6806
1963-11-30,48636101729.492485
1963-12-31,49092901103.747
1964-01-31,49751369087.0909
1964-02-29,49921245888.5489
1964-03-31,49950603741.8506
1964-04-30,50390619716.5244
1964-05-31,50728350265.875114
1964-06-30,51240813812.005005
1964-07-31,51687083931.26
1964-08-31,52542783193.0807
1964-09-30,52709816547.355896
1964-10-31,52949251965.9904
1964-11-30,53429504898.4736
1964-12-31,53657736698.562
1965-01-31,54017374231.2588
1965-02-28,54455551582.4244
1965-03-31,54550726585.71391
1965-04-30,55421328470.0948
1965-05-31,55903198367.783104
1965-06-30,56252983916.79338
1965-07-31,56725723914.938
1965-08-31,57332345613.6721
1965-09-30,57600630310.4175
1965-10-31,58221718791.9738
1965-11-30,58682876313.0196
1965-12-31,59406767340.155
1966-01-31,59947810467.0931
1966-02-28,60445173820.4262
1966-03-31,60859093753.803
1966-04-30,61814754390.925896
1966-05-31,62285989065.3508
1966-06-30,62776972903.09631
1966-07-31,63506231391.8851
1966-08-31,63964268773.265205
