Date,Value
2006-01-31,99.4311
2006-02-28,99.7695
2006-03-31,100.56
2006-04-30,98.1412
2006-05-31,97.7705
2006-06-30,98.2483
2006-07-31,97.9996
2006-08-31,97.644
2006-09-30,98.1054
2006-10-31,97.3901
2006-11-30,96.5779
2006-12-31,97.0312
2007-01-31,97.964
2007-02-28,97.2386
2007-03-31,96.3183
2007-04-30,94.8365
2007-05-31,94.3215
2007-06-30,94.1393
2007-07-31,93.4264
2007-08-31,93.6674
2007-09-30,90.9446
2007-10-31,89.1389
2007-11-30,89.6212
2007-12-31,89.6304
2008-01-31,88.6547
2008-02-29,87.1654
2008-03-31,86.6881
2008-04-30,86.8907
2008-05-31,86.5504
2008-06-30,86.7621
2008-07-31,86.8567
2008-08-31,90.0567
2008-09-30,92.3773
2008-10-31,99.7662
2008-11-30,101.6468
2008-12-31,98.6518
2009-01-31,102.1169
2009-02-28,104.9284
2009-03-31,102.3761
2009-04-30,100.1042
2009-05-31,95.268
2009-06-30,96.3761
2009-07-31,94.2526
2009-08-31,94.6202
2009-09-30,93.1907
2009-10-31,92.6207
2009-11-30,91.3717
2009-12-31,92.9124
2010-01-31,93.7638
2010-02-28,93.6602
2010-03-31,92.8987
2010-04-30,92.8423
2010-05-31,96.3062
2010-06-30,95.9934
2010-07-31,93.2793
2010-08-31,94.7204
2010-09-30,91.3415
2010-10-31,90.0935
2010-11-30,92.1494
2010-12-31,90.5146
2011-01-31,89.694
2011-02-28,88.9391
2011-03-31,88.0299
2011-04-30,85.5999
2011-05-31,86.656
2011-06-30,86.4786
2011-07-31,85.7282
2011-08-31,86.7739
2011-09-30,91.9998
2011-10-31,89.2053
2011-11-30,91.4728
2011-12-31,92.4262
2012-01-31,90.5538
2012-02-29,89.7487
2012-03-31,90.4593
2012-04-30,90.3634
2012-05-31,94.6856
2012-06-30,92.9096
2012-07-31,92.8422
2012-08-31,92.1677
2012-09-30,90.8342
2012-10-31,91.1609
2012-11-30,91.1038
2012-12-31,91.0834
2013-01-31,90.798
2013-02-28,92.295
2013-03-31,92.302
2013-04-30,91.3741
2013-05-31,93.6076
2013-06-30,94.3047
2013-07-31,93.5703
2013-08-31,94.7541
2013-09-30,92.9207
2013-10-31,92.731
2013-11-30,93.6291
2013-12-31,93.5576
2014-01-31,95.1774
2014-02-28,94.3879
2014-03-31,94.2432
2014-04-30,93.8896
2014-05-31,93.7606
2014-06-30,93.2058
2014-07-31,94.4467
2014-08-31,94.7251
2014-09-30,97.5261
2014-10-31,98.1163
2014-11-30,100.0719
2014-12-31,102.2843
2015-01-31,105.5884
2015-02-28,105.5981
2015-03-31,107.4396
2015-04-30,105.312
2015-05-31,106.7388
2015-06-30,106.5191
2015-07-31,108.7819
2015-08-31,110.5621
2015-09-30,111.3311
2015-10-31,110.2079
2015-11-30,112.34
2015-12-31,113.3429
2016-01-31,115.5731
2016-02-29,114.2418
2016-03-31,109.9191
2016-04-30,108.8274
2016-05-31,112.4276
2016-06-30,112.1618
2016-07-31,111.874
2016-08-31,112.4036
2016-09-30,112.2795
2016-10-31,114.0188
2016-11-30,117.7636
2016-12-31,118.3466
2017-01-31,116.2241
2017-02-28,116.0032
2017-03-31,114.7938
2017-04-30,114.7877
2017-05-31,113.2956
2017-06-30,111.9896
2017-07-31,109.8177
2017-08-31,109.3686
2017-09-30,110.0867
2017-10-31,111.8052
2017-11-30,110.4648
2017-12-31,110.0783
2018-01-31,106.7695
2018-02-28,108.3901
2018-03-31,107.4783
2018-04-30,109.3356
2018-05-31,111.988
2018-06-30,113.2583
2018-07-31,112.7297
2018-08-31,114.275
2018-09-30,113.8072
2018-10-31,116.5268
2018-11-30,116.4121
2018-12-31,115.5667
2019-01-31,113.5476
2019-02-28,114.1971
2019-03-31,115.1364
2019-04-30,115.3268
2019-05-31,116.7279
2019-06-30,114.5834
2019-07-31,115.4955
2019-08-31,118.16
2019-09-30,117.9488
2019-10-31,115.9137
2019-11-30,117.1218
2019-12-31,114.6697
2020-01-31,115.7342
2020-02-29,117.6573
2020-03-31,122.5394
2020-04-30,122.3375
2020-05-31,120.953
2020-06-30,120.4746
2020-07-31,117.2208
2020-08-31,115.7717
2020-09-30,116.957
2020-10-31,116.1417
2020-11-30,113.2308
2020-12-31,111.324
2021-01-31,111.9604
2021-02-28,112.8433
2021-03-31,113.8351
2021-04-30,112.0959
2021-05-31,110.7711
2021-06-30,112.5613
2021-07-31,112.6808
2021-08-31,113.1175
2021-09-30,114.6504
2021-10-31,114.149
2021-11-30,116.2206
2021-12-31,115.2969
2022-01-31,115.5742
2022-02-28,115.2317
2022-03-31,115.2254
2022-04-30,119.4936
2022-05-31,118.0689
2022-06-30,120.9718
2022-07-31,121.7793
2022-08-31,123.5407
2022-09-30,127.5159
2022-10-31,127.6272
2022-11-30,123.5276
2022-12-31,121.4392
2023-01-31,118.991
2023-02-28,121.4062
2023-03-31,119.4611
