Date,Value
1957-01-31,1.471388
1957-02-28,1.471388
1957-03-31,1.471388
1957-04-30,1.500524
1957-05-31,1.51145
1957-06-30,1.540586
1957-07-31,1.540586
1957-08-31,1.5551549999999998
1957-09-30,1.566081
1957-10-31,1.5551549999999998
1957-11-30,1.566081
1957-12-31,1.5551549999999998
1958-01-31,1.526018
1958-02-28,1.51145
1958-03-31,1.51145
1958-04-30,1.526018
1958-05-31,1.5551549999999998
1958-06-30,1.595217
1958-07-31,1.6352799999999998
1958-08-31,1.649848
1958-09-30,1.664416
1958-10-31,1.6899099999999998
1958-11-30,1.678984
1958-12-31,1.6352799999999998
1959-01-31,1.609785
1959-02-28,1.624354
1959-03-31,1.609785
1959-04-30,1.609785
1959-05-31,1.6352799999999998
1959-06-30,1.664416
1959-07-31,1.704479
1959-08-31,1.7190470000000002
1959-09-30,1.704479
1959-10-31,1.733615
1959-11-30,1.733615
1959-12-31,1.704479
1960-01-31,1.678984
1960-02-29,1.678984
1960-03-31,1.664416
1960-04-30,1.678984
1960-05-31,1.6899099999999998
1960-06-30,1.704479
1960-07-31,1.733615
1960-08-31,1.733615
1960-09-30,1.7190470000000002
1960-10-31,1.7190470000000002
1960-11-30,1.704479
1960-12-31,1.704479
1961-01-31,1.6899099999999998
1961-02-28,1.6899099999999998
1961-03-31,1.704479
1961-04-30,1.704479
1961-05-31,1.704479
1961-06-30,1.7190470000000002
1961-07-31,1.7481830000000005
1961-08-31,1.759109
1961-09-30,1.759109
1961-10-31,1.759109
1961-11-30,1.759109
1961-12-31,1.759109
1962-01-31,1.7481830000000005
1962-02-28,1.7481830000000005
1962-03-31,1.7481830000000005
1962-04-30,1.759109
1962-05-31,1.773678
1962-06-30,1.788246
1962-07-31,1.81374
1962-08-31,1.8283080000000005
1962-09-30,1.8283080000000005
1962-10-31,1.8428759999999995
1962-11-30,1.8283080000000005
1962-12-31,1.802814
1963-01-31,1.788246
1963-02-28,1.773678
1963-03-31,1.788246
1963-04-30,1.802814
1963-05-31,1.81374
1963-06-30,1.8428759999999995
1963-07-31,1.857445
1963-08-31,1.872013
1963-09-30,1.882939
1963-10-31,1.897507
1963-11-30,1.897507
1963-12-31,1.926644
1964-01-31,1.926644
1964-02-29,1.952138
1964-03-31,1.966706
1964-04-30,1.981274
1964-05-31,2.021337
1964-06-30,2.061399
1964-07-31,2.119672
1964-08-31,2.145166
1964-09-30,2.185229
1964-10-31,2.243502
1964-11-30,2.243502
1964-12-31,2.254428
1965-01-31,2.268996
1965-02-28,2.228934
1965-03-31,2.185229
1965-04-30,2.199797
1965-05-31,2.2143650000000004
1965-06-30,2.243502
1965-07-31,2.309059
1965-08-31,2.338195
1965-09-30,2.367332
1965-10-31,2.367332
1965-11-30,2.378258
1965-12-31,2.378258
1966-01-31,2.378258
1966-02-28,2.392826
1966-03-31,2.392826
1966-04-30,2.407394
1966-05-31,2.487519
1966-06-30,2.545792
1966-07-31,2.585854
1966-08-31,2.611349
1966-09-30,2.625917
1966-10-31,2.640485
1966-11-30,2.669621
1966-12-31,2.709684
1967-01-31,2.709684
1967-02-28,2.724252
1967-03-31,2.749747
1967-04-30,2.778883
1967-05-31,2.833513
1967-06-30,2.9027130000000003
1967-07-31,2.928207
1967-08-31,2.957343
1967-09-30,2.942775
1967-10-31,2.982838
1967-11-30,2.971911
1967-12-31,2.942775
1968-01-31,3.026542
1968-02-29,2.982838
1968-03-31,2.928207
1968-04-30,2.942775
1968-05-31,2.917281
1968-06-30,2.942775
1968-07-31,2.928207
1968-08-31,2.993764
1968-09-30,3.0119740000000004
1968-10-31,3.026542
1968-11-30,2.960985
1968-12-31,2.877218
1969-01-31,2.859008
1969-02-28,2.84444
1969-03-31,2.859008
1969-04-30,2.877218
1969-05-31,2.909997
1969-06-30,2.993764
1969-07-31,3.0119740000000004
1969-08-31,3.0119740000000004
1969-09-30,3.0119740000000004
1969-10-31,2.993764
1969-11-30,2.979196
1969-12-31,2.979196
1970-01-31,2.979196
1970-02-28,2.979196
1970-03-31,3.0119740000000004
1970-04-30,3.044752
1970-05-31,3.077531
1970-06-30,3.113951
1970-07-31,3.12852
1970-08-31,3.14673
1970-09-30,3.161298
1970-10-31,3.179508
1970-11-30,3.179508
1970-12-31,3.12852
1971-01-31,3.095741
1971-02-28,3.095741
1971-03-31,3.095741
1971-04-30,3.095741
1971-05-31,3.095741
1971-06-30,3.14673
1971-07-31,3.197718
1971-08-31,3.263275
1971-09-30,3.2960540000000003
1971-10-31,3.2960540000000003
1971-11-30,3.314264
1971-12-31,3.281486
1972-01-31,3.263275
1972-02-29,3.2450650000000003
1972-03-31,3.263275
1972-04-30,3.281486
1972-05-31,3.2960540000000003
1972-06-30,3.379821
1972-07-31,3.4490199999999995
1972-08-31,3.4817980000000004
1972-09-30,3.500008
1972-10-31,3.514577
1972-11-30,3.5327870000000003
1972-12-31,3.5327870000000003
1973-01-31,3.5327870000000003
1973-02-28,3.5837760000000003
1973-03-31,3.634764
1973-04-30,3.718531
1973-05-31,3.835077
1973-06-30,3.918844
1973-07-31,4.086378
1973-08-31,4.155577
1973-09-30,4.173788
1973-10-31,4.272123000000001
1973-11-30,4.3558900000000005
1973-12-31,4.3741
1974-01-31,4.439657
1974-02-28,4.490645
1974-03-31,4.625401
1974-04-30,4.760157
1974-05-31,4.945901
1974-06-30,5.062447
1974-07-31,5.233624
1974-08-31,5.401158000000001
1974-09-30,5.619680000000001
1974-10-31,5.634249
1974-11-30,5.568692
1974-12-31,5.484925
1975-01-31,5.484925
1975-02-28,5.466714
1975-03-31,5.401158000000001
1975-04-30,5.433936
1975-05-31,5.499493
1975-06-30,5.517703
1975-07-31,5.452147
1975-08-31,5.401158000000001
1975-09-30,5.368379
1975-10-31,5.3173900000000005
1975-11-30,5.299181
1975-12-31,5.146214
1976-01-31,5.0151
1976-02-29,4.880344999999999
1976-03-31,4.811146
1976-04-30,4.862133999999999
1976-05-31,4.880344999999999
1976-06-30,4.894913
1976-07-31,4.9968900000000005
1976-08-31,5.0151
1976-09-30,5.080657
1976-10-31,5.113436
1976-11-30,5.146214
1976-12-31,5.146214
1977-01-31,5.164424
1977-02-28,5.215413
1977-03-31,5.248192
1977-04-30,5.266402
1977-05-31,5.350169
1977-06-30,5.382947
1977-07-31,5.466714
1977-08-31,5.499493
1977-09-30,5.568692
1977-10-31,5.550482
1977-11-30,5.550482
1977-12-31,5.550482
1978-01-31,5.466714
1978-02-28,5.382947
1978-03-31,5.401158000000001
1978-04-30,5.415726
1978-05-31,5.433936
1978-06-30,5.499493
1978-07-31,5.550482
1978-08-31,5.568692
1978-09-30,5.652459
1978-10-31,5.721658000000001
1978-11-30,5.721658000000001
1978-12-31,5.634249
1979-01-31,5.586902
1979-02-28,5.535913
1979-03-31,5.586902
1979-04-30,5.670669
1979-05-31,5.703448000000001
1979-06-30,5.805425
1979-07-31,5.940181
1979-08-31,6.056726
1979-09-30,6.107715
1979-10-31,6.140493
1979-11-30,6.191482
1979-12-31,6.293459
1980-01-31,6.242471
1980-02-29,6.20605
1980-03-31,6.275249
1980-04-30,6.308028
1980-05-31,6.428216
1980-06-30,6.493772
1980-07-31,6.628528
1980-08-31,6.679517
1980-09-30,6.763284
1980-10-31,6.828841000000001
1980-11-30,6.9126080000000005
1980-12-31,6.865261
1981-01-31,6.9126080000000005
1981-02-28,7.032795
1981-03-31,7.065574000000001
1981-04-30,7.182119
1981-05-31,7.284097
1981-06-30,7.386074000000002
1981-07-31,7.52083
1981-08-31,7.637374999999999
1981-09-30,7.670153999999998
1981-10-31,7.739353
1981-11-30,7.772131
1981-12-31,7.739353
1982-01-31,7.721142
1982-02-28,7.706574000000002
1982-03-31,7.688364
1982-04-30,7.721142
1982-05-31,7.772131
1982-06-30,7.9068869999999984
1982-07-31,8.041643
1982-08-31,8.209177
1982-09-30,8.227387
1982-10-31,8.260165
1982-11-30,8.343933
1982-12-31,8.362142999999998
1983-01-31,8.325723
1983-02-28,8.413132000000001
1983-03-31,8.445910000000001
1983-04-30,8.547888
1983-05-31,8.76641
1983-06-30,8.966722
1983-07-31,9.101479
1983-08-31,9.236235
1983-09-30,9.320002
1983-10-31,9.385558
1983-11-30,9.436547
1983-12-31,9.403769
1984-01-31,9.472968
1984-02-29,9.436547
1984-03-31,9.385558
1984-04-30,9.403769
1984-05-31,9.454758
1984-06-30,9.65507
1984-07-31,9.840815
1984-08-31,9.859025
1984-09-30,9.910013
1984-10-31,9.961002
1984-11-30,10.00835
1984-12-31,9.891803
1985-01-31,9.891803
1985-02-28,9.840815
1985-03-31,9.859025
1985-04-30,9.99378
1985-05-31,10.09212
1985-06-30,10.19409
1985-07-31,10.34706
1985-08-31,10.39805
1985-09-30,10.41262
1985-10-31,10.51459
1985-11-30,10.59836
1985-12-31,10.59836
1986-01-31,10.58015
1986-02-28,10.64935
1986-03-31,10.73312
