Date,Value
1994-04-30,26.95337
1994-05-31,27.38882
1994-06-30,28.10877
1994-07-31,28.34607
1994-08-31,28.53
1994-09-30,28.74524
1994-10-31,29.14412
1994-11-30,29.57867
1994-12-31,29.99461
1995-01-31,30.54258
1995-02-28,30.32036
1995-03-31,30.54761
1995-04-30,31.19469
1995-05-31,30.96254
1995-06-30,31.23869
1995-07-31,31.96857
1995-08-31,32.07505
1995-09-30,33.35632
1995-10-31,32.39363
1995-11-30,33.1841
1995-12-31,33.73757
1996-01-31,34.13727
1996-02-29,33.47269
1996-03-31,34.92425
1996-04-30,34.58413
1996-05-31,34.95609
1996-06-30,34.51357
1996-07-31,34.11421
1996-08-31,34.92056
1996-09-30,34.59007
1996-10-31,35.1228
1996-11-30,33.9593
1996-12-31,34.99657
1997-01-31,34.68936
1997-02-28,35.47995
1997-03-31,36.05666
1997-04-30,36.08526
1997-05-31,36.33492
1997-06-30,36.65428
1997-07-31,36.92703
1997-08-31,36.81491
1997-09-30,37.37297
1997-10-31,37.55028
1997-11-30,37.58358
1997-12-31,37.42739
1998-01-31,37.6106
1998-02-28,37.98297
1998-03-31,37.46576
1998-04-30,37.93493
1998-05-31,37.95919
1998-06-30,38.54072
1998-07-31,38.33091
1998-08-31,38.48766
1998-09-30,38.41571
1998-10-31,37.60761
1998-11-30,39.40788
1998-12-31,39.01621
1999-01-31,39.70019
1999-02-28,39.33694
1999-03-31,39.21398
1999-04-30,39.83234
1999-05-31,40.78373
1999-06-30,40.36361
1999-07-31,40.79242
1999-08-31,41.11758
1999-09-30,41.09966
1999-10-31,40.78972
1999-11-30,40.78096
1999-12-31,42.10605
2000-01-31,41.642
2000-02-29,41.09042
2000-03-31,42.6038
2000-04-30,42.77522
2000-05-31,43.07992
2000-06-30,42.75114
2000-07-31,42.84707
2000-08-31,42.92888
2000-09-30,43.43838
2000-10-31,43.32015
2000-11-30,43.77005
2000-12-31,43.68871
2001-01-31,43.24702
2001-02-28,43.93343
2001-03-31,43.80357
2001-04-30,43.93332
2001-05-31,43.81442
2001-06-30,44.03944
2001-07-31,43.74323
2001-08-31,44.14936
2001-09-30,44.26254
2001-10-31,44.42151
2001-11-30,44.87817
2001-12-31,44.91918
2002-01-31,44.83217
2002-02-28,45.09081
2002-03-31,45.36222
2002-04-30,45.90337
2002-05-31,45.69966
2002-06-30,46.10546
2002-07-31,46.65891
2002-08-31,46.95699
2002-09-30,46.82148
2002-10-31,47.31229
2002-11-30,46.97102
2002-12-31,47.51075
2003-01-31,47.77882
2003-02-28,48.39274
2003-03-31,47.99529
2003-04-30,48.09949
2003-05-31,48.78961
2003-06-30,48.95836
2003-07-31,49.6014
2003-08-31,49.84206
2003-09-30,50.18027
2003-10-31,49.98143
2003-11-30,51.15827
2003-12-31,50.92152
2004-01-31,51.65935
2004-02-29,50.85638
2004-03-31,51.51861
2004-04-30,54.01192
2004-05-31,53.60933
2004-06-30,53.7301
2004-07-31,55.44793
2004-08-31,55.79958
2004-09-30,56.72229
2004-10-31,56.86512
2004-11-30,56.84608
2004-12-31,57.24195
2005-01-31,57.16153
2005-02-28,57.88214
2005-03-31,58.86161
2005-04-30,56.36187
2005-05-31,56.69711
2005-06-30,57.68686
2005-07-31,56.58878
2005-08-31,58.06918
2005-09-30,57.77893
2005-10-31,59.00667
2005-11-30,58.17199
2005-12-31,60.26303
2006-01-31,61.25228
2006-02-28,61.55499
2006-03-31,62.72617
2006-04-30,62.0391
2006-05-31,62.78899
2006-06-30,62.89713
2006-07-31,64.99783
2006-08-31,63.91274
2006-09-30,65.53379
2006-10-31,64.42336
2006-11-30,70.06536
2006-12-31,68.84689
2007-01-31,69.8091
2007-02-28,70.20722
2007-03-31,71.70661
2007-04-30,72.58376
2007-05-31,74.70207
2007-06-30,75.15701
2007-07-31,75.26715
2007-08-31,75.49085
2007-09-30,74.4225
2007-10-31,76.6977
2007-11-30,77.30314
2007-12-31,78.4024
2008-01-31,79.28104
2008-02-29,79.27101
2008-03-31,80.15997
2008-04-30,79.952
2008-05-31,80.18629
2008-06-30,81.27293
2008-07-31,79.20731
2008-08-31,80.13097
2008-09-30,82.15518
2008-10-31,79.67675
2008-11-30,78.96045
2008-12-31,76.89181
2009-01-31,75.37524
2009-02-28,76.24326
2009-03-31,75.69012
2009-04-30,78.05914
2009-05-31,78.97525
2009-06-30,79.58847
2009-07-31,80.4558
2009-08-31,84.52279
2009-09-30,83.58832
2009-10-31,81.63593
2009-11-30,84.06258
2009-12-31,84.27239
2010-01-31,85.80334
2010-02-28,86.7054
2010-03-31,86.6475
2010-04-30,88.02976
2010-05-31,85.5834
2010-06-30,85.47383
2010-07-31,88.68886
2010-08-31,88.03306
2010-09-30,88.79897
2010-10-31,91.13898
2010-11-30,89.53669
2010-12-31,91.17019
