observation_date,MABMM301INM189S
1960-01-01,37802418076.325905
1960-02-01,38091562540.524094
1960-03-01,38324478626.878998
1960-04-01,38546391550.023994
1960-05-01,38783759314.977203
1960-06-01,39057141297.706200
1960-07-01,39146114441.591995
1960-08-01,39525162247.308006
1960-09-01,39315366003.396706
1960-10-01,39176672904.889801
1960-11-01,38613902927.100197
1960-12-01,38984304314.643600
1961-01-01,38970301294.692200
1961-02-01,38925807686.237000
1961-03-01,39166411347.246803
1961-04-01,38859290256.824997
1961-05-01,38910754745.502998
1961-06-01,39026523542.559692
1961-07-01,39179419255.696404
1961-08-01,39613915092.854492
1961-09-01,39546908868.048302
1961-10-01,39768542900.563705
1961-11-01,40119067454.664803
1961-12-01,40468528418.413399
1962-01-01,40897045531.694405
1962-02-01,41425531887.072403
1962-03-01,41980345164.515297
1962-04-01,42361448436.914894
1962-05-01,42814774442.344307
1962-06-01,43015282399.963501
1962-07-01,43366993579.407295
1962-08-01,43519897984.355400
1962-09-01,43810330728.334892
1962-10-01,44203991818.501602
1962-11-01,44353081184.214096
1962-12-01,44541097345.185905
1963-01-01,44782321145.575096
1963-02-01,44910920672.225601
1963-03-01,45102343636.846306
1963-04-01,45552039537.788803
1963-05-01,45683515447.696701
1963-06-01,46265040120.352600
1963-07-01,46698511013.286499
1963-08-01,47104846388.625198
1963-09-01,47623894476.346893
1963-10-01,48404009207.680603
1963-11-01,48636101729.492493
1963-12-01,49092901103.747002
1964-01-01,49751369087.090897
1964-02-01,49921245888.548904
1964-03-01,49950603741.850601
1964-04-01,50390619716.524399
1964-05-01,50728350265.875107
1964-06-01,51240813812.005005
1964-07-01,51687083931.260002
1964-08-01,52542783193.080704
1964-09-01,52709816547.355896
1964-10-01,52949251965.990402
1964-11-01,53429504898.473602
1964-12-01,53657736698.561996
1965-01-01,54017374231.258797
1965-02-01,54455551582.424400
1965-03-01,54550726585.713905
1965-04-01,55421328470.094803
1965-05-01,55903198367.783104
1965-06-01,56252983916.793388
1965-07-01,56725723914.938004
1965-08-01,57332345613.672104
1965-09-01,57600630310.417503
1965-10-01,58221718791.973801
1965-11-01,58682876313.019600
1965-12-01,59406767340.154999
1966-01-01,59947810467.093102
1966-02-01,60445173820.426201
1966-03-01,60859093753.803001
1966-04-01,61814754390.925896
1966-05-01,62285989065.350800
1966-06-01,62776972903.096306
1966-07-01,63506231391.885101
1966-08-01,63964268773.265205
1966-09-01,63994598274.783005
1966-10-01,64753213934.270096
1966-11-01,65435726798.144493
1966-12-01,66045995818.755699
1967-01-01,66364621486.252205
1967-02-01,66994321153.677803
1967-03-01,67621608903.035805
1967-04-01,67408266371.331490
1967-05-01,68004086671.527405
1967-06-01,68186734518.536003
1967-07-01,68536228339.496002
1967-08-01,69179884797.311996
1967-09-01,70017686170.876099
1967-10-01,70623808188.336090
1967-11-01,71224129396.550400
1967-12-01,72213400843.297699
1968-01-01,72576427988.612000
1968-02-01,73082965688.162109
1968-03-01,73992573579.631012
1968-04-01,74574426084.435699
1968-05-01,74846550660.520615
1968-06-01,75658891304.592300
1968-07-01,76282236628.372711
1968-08-01,76812676943.902206
1968-09-01,77557398297.894211
1968-10-01,78223523961.250092
1968-11-01,78410879215.335999
1968-12-01,79116776347.811600
1969-01-01,80159777094.579391
1969-02-01,81272599325.061798
1969-03-01,82404835738.787994
1969-04-01,83487457438.951599
1969-05-01,84443981760.494095
1969-06-01,85776020059.307388
1969-07-01,86546777847.227005
1969-08-01,87121858217.534912
1969-09-01,87160844340.038208
1969-10-01,88146266889.177597
1969-11-01,89453062503.463898
1969-12-01,89775624074.295700
1970-01-01,91153755899.418213
1970-02-01,91905084565.339905
1970-03-01,92684528870.899200
1970-04-01,97149081612.755600
1970-05-01,98133064101.055695
1970-06-01,98921558038.805298
1970-07-01,100255221975.794998
1970-08-01,101249158800.417999
1970-09-01,102746316975.988007
1970-10-01,104487307869.960007
1970-11-01,105151435868.358994
1970-12-01,105616748737.977997
1971-01-01,107421648044.332001
1971-02-01,108801055795.432007
1971-03-01,109557285689.337006
1971-04-01,110358593209.710007
1971-05-01,111649678613.630005
1971-06-01,112824136026.591995
1971-07-01,113816730324.266006
1971-08-01,115391880031.977005
1971-09-01,116978003169.011993
1971-10-01,118511544339.863007
1971-11-01,120150252022.091003
1971-12-01,122961935536.970001
1972-01-01,123981012609.039001
1972-02-01,125024863217.972000
1972-03-01,126401381585.324997
1972-04-01,126925349525.473007
1972-05-01,129159651287.552994
1972-06-01,131745590909.069000
1972-07-01,132660107031.559006
1972-08-01,134924784540.815994
1972-09-01,135303998638.210999
1972-10-01,137296297809.932999
1972-11-01,139669351745.217010
1972-12-01,142305500083.404022
1973-01-01,143735872062.906006
1973-02-01,146550643293.303009
1973-03-01,149751199548.703003
1973-04-01,152546962167.613983
1973-05-01,154763004907.994995
1973-06-01,157073854379.864014
1973-07-01,159707806027.657013
1973-08-01,161687952487.250000
1973-09-01,164692245897.593994
1973-10-01,166504331090.471985
1973-11-01,168522302599.368011
1973-12-01,169720039965.798004
1974-01-01,172410714811.752991
1974-02-01,173971123231.431976
1974-03-01,175952657345.774017
1974-04-01,178650242117.691986
1974-05-01,180845042192.122009
1974-06-01,182192877423.772003
1974-07-01,184827384782.454010
1974-08-01,185146239433.066010
1974-09-01,186441536534.045013
1974-10-01,187409205592.059998
1974-11-01,189041509796.502991
1974-12-01,189632072653.903015
1975-01-01,192480456759.177002
1975-02-01,194485418423.531006
1975-03-01,195218571417.018005
1975-04-01,197416687525.311005
1975-05-01,199805442950.959991
1975-06-01,202336251088.033997
1975-07-01,205557457017.845001
1975-08-01,207395250059.799011
1975-09-01,209032275222.415985
1975-10-01,212099266241.242004
1975-11-01,214189845509.341003
1975-12-01,214363088991.333008
1976-01-01,218280721714.619995
1976-02-01,221697528777.822998
1976-03-01,224280670481.955994
1976-04-01,227961566707.923004
1976-05-01,232826010338.000000
1976-06-01,236320088991.281006
1976-07-01,240745433792.337006
1976-08-01,245529225510.503052
1976-09-01,250921401144.256012
1976-10-01,255574558347.359985
1976-11-01,259110069015.062012
1976-12-01,265900384135.634003
1977-01-01,266986673637.269958
1977-02-01,270110206233.970032
1977-03-01,276781065558.442993
1977-04-01,280083024308.677979
1977-05-01,283516714750.067993
1977-06-01,286536363442.364990
1977-07-01,290532807151.342041
1977-08-01,295283142978.072998
1977-09-01,300058295264.985962
1977-10-01,303499666338.410034
1977-11-01,309356648728.668945
1977-12-01,315514967363.505981
1978-01-01,317731360229.239014
1978-02-01,322037169484.552002
1978-03-01,327264851491.992004
1978-04-01,333355562665.106018
1978-05-01,337729466015.781006
1978-06-01,343381866049.067993
1978-07-01,346755575055.367004
1978-08-01,352101073822.102966
1978-09-01,359167010912.627991
1978-10-01,365137206498.851013
1978-11-01,371265856534.393982
1978-12-01,382711938953.259033
1979-01-01,390503329553.831055
1979-02-01,391394282834.095947
1979-03-01,398638952085.924011
1979-04-01,401697187252.135010
1979-05-01,408394428534.960022
1979-06-01,419152464745.921997
1979-07-01,426182945173.264954
1979-08-01,436430314918.380005
1979-09-01,436345541659.972961
1979-10-01,442147565180.720947
1979-11-01,444586792109.179016
1979-12-01,450196953579.268005
1980-01-01,456276460008.312988
1980-02-01,464317499746.398010
1980-03-01,469454959670.472961
1980-04-01,476020772852.796021
1980-05-01,479851528544.049988
1980-06-01,481712317801.151978
1980-07-01,487943338758.043030
1980-08-01,494549715491.571045
1980-09-01,501954702749.931030
1980-10-01,510698583851.831055
1980-11-01,520177083242.167053
1980-12-01,526034856962.476074
1981-01-01,537112748788.596863
1981-02-01,544908037563.419983
