observation_date,INDPROINDMISMEI
1994-04-01,26.95337
1994-05-01,27.38882
1994-06-01,28.10877
1994-07-01,28.34607
1994-08-01,28.53000
1994-09-01,28.74524
1994-10-01,29.14412
1994-11-01,29.57867
1994-12-01,29.99461
1995-01-01,30.54258
1995-02-01,30.32036
1995-03-01,30.54761
1995-04-01,31.19469
1995-05-01,30.96254
1995-06-01,31.23869
1995-07-01,31.96857
1995-08-01,32.07505
1995-09-01,33.35632
1995-10-01,32.39363
1995-11-01,33.18410
1995-12-01,33.73757
1996-01-01,34.13727
1996-02-01,33.47269
1996-03-01,34.92425
1996-04-01,34.58413
1996-05-01,34.95609
1996-06-01,34.51357
1996-07-01,34.11421
1996-08-01,34.92056
1996-09-01,34.59007
1996-10-01,35.12280
1996-11-01,33.95930
1996-12-01,34.99657
1997-01-01,34.68936
1997-02-01,35.47995
1997-03-01,36.05666
1997-04-01,36.08526
1997-05-01,36.33492
1997-06-01,36.65428
1997-07-01,36.92703
1997-08-01,36.81491
1997-09-01,37.37297
1997-10-01,37.55028
1997-11-01,37.58358
1997-12-01,37.42739
1998-01-01,37.61060
1998-02-01,37.98297
1998-03-01,37.46576
1998-04-01,37.93493
1998-05-01,37.95919
1998-06-01,38.54072
1998-07-01,38.33091
1998-08-01,38.48766
1998-09-01,38.41571
1998-10-01,37.60761
1998-11-01,39.40788
1998-12-01,39.01621
1999-01-01,39.70019
1999-02-01,39.33694
1999-03-01,39.21398
1999-04-01,39.83234
1999-05-01,40.78373
1999-06-01,40.36361
1999-07-01,40.79242
1999-08-01,41.11758
1999-09-01,41.09966
1999-10-01,40.78972
1999-11-01,40.78096
1999-12-01,42.10605
2000-01-01,41.64200
2000-02-01,41.09042
2000-03-01,42.60380
2000-04-01,42.77522
2000-05-01,43.07992
2000-06-01,42.75114
2000-07-01,42.84707
2000-08-01,42.92888
2000-09-01,43.43838
2000-10-01,43.32015
2000-11-01,43.77005
2000-12-01,43.68871
2001-01-01,43.24702
2001-02-01,43.93343
2001-03-01,43.80357
2001-04-01,43.93332
2001-05-01,43.81442
2001-06-01,44.03944
2001-07-01,43.74323
2001-08-01,44.14936
2001-09-01,44.26254
2001-10-01,44.42151
2001-11-01,44.87817
2001-12-01,44.91918
2002-01-01,44.83217
2002-02-01,45.09081
2002-03-01,45.36222
2002-04-01,45.90337
2002-05-01,45.69966
2002-06-01,46.10546
2002-07-01,46.65891
2002-08-01,46.95699
2002-09-01,46.82148
2002-10-01,47.31229
2002-11-01,46.97102
2002-12-01,47.51075
2003-01-01,47.77882
2003-02-01,48.39274
2003-03-01,47.99529
2003-04-01,48.09949
2003-05-01,48.78961
2003-06-01,48.95836
2003-07-01,49.60140
2003-08-01,49.84206
2003-09-01,50.18027
2003-10-01,49.98143
2003-11-01,51.15827
2003-12-01,50.92152
2004-01-01,51.65935
2004-02-01,50.85638
2004-03-01,51.51861
2004-04-01,54.01192
2004-05-01,53.60933
2004-06-01,53.73010
2004-07-01,55.44793
2004-08-01,55.79958
2004-09-01,56.72229
2004-10-01,56.86512
2004-11-01,56.84608
2004-12-01,57.24195
2005-01-01,57.16153
2005-02-01,57.88214
2005-03-01,58.86161
2005-04-01,56.36187
2005-05-01,56.69711
2005-06-01,57.68686
2005-07-01,56.58878
2005-08-01,58.06918
2005-09-01,57.77893
2005-10-01,59.00667
2005-11-01,58.17199
2005-12-01,60.26303
2006-01-01,61.25228
2006-02-01,61.55499
2006-03-01,62.72617
2006-04-01,62.03910
2006-05-01,62.78899
2006-06-01,62.89713
2006-07-01,64.99783
2006-08-01,63.91274
2006-09-01,65.53379
2006-10-01,64.42336
2006-11-01,70.06536
2006-12-01,68.84689
